No,Pictured,Title,have,Month,Year
1,Tom Baker,The Daleks Are Back,do_not_have,October,1979
2,Tom Baker,Return of the Daleks,do_not_have,October,1979
3,Tom Baker,Retold - The First Ever Dalek TV Adventure,do_not_have,October,1979
4,Tom Baker,Attack of the Yeti,do_not_have,November,1979
5,Tom Baker,A Great New Cybermen Adventure,have,November,1979
6,John Pertwee & Sontaran,Special Feature on The Sontarans,have,November,1979
7,Tom Baker & Sarah Jane,The Keys of Marinus,have,November,1979
8,Tom Baker & Dalek,The Daleks Are Back,have,November,1979
9,Zygon & Tom Baker,Special Monster Issue,have,December,1979
10,Davros,The Doctor Faces The French Revolution,have,December,1979
11,Silurian,The Story of the Silurian Monster,have,December,1979
12,Dalek Fire,Daleks Krynoids,have,January,1980
13,Tom Baker & K-9,The Ice Warriors Attack,have,January,1980
14,John Pertwee,Revenge of the Ogrons,have,January,1980
15,William Hartnell,TV's First Doctor,have,January,1980
16,Tom Baker,Ice Warriors versus Cybermen,do_not_have,January,1980
17,Tom Baker & K-9,The Dalek Killer,have,February,1980
18,Mandrells,The Mandrells,do_not_have,February,1980
19,Lalla Ward,Who's Fooling Who,have,February,1980
20,Dalek,Daleks Beware,do_not_have,February,1980
21,Tom Baker & Lalla Ward,Destiny of the Daleks,do_not_have,March,1980
22,Tom Baker,File On UNIT,do_not_have,March,1980
23,Cyberman,A New Cyberman Comic Strip,do_not_have,March,1980
24,Tom Baker & Dalek & K-9,100 Fabulous Full Colour Posters,do_not_have,March,1980
25,Tom Baker,The Doctor Faces Deadly Robots,do_not_have,April,1980
26,Tom Baker,Great New Look Issue,do_not_have,April,1980
27,Tom Baker & Scaroth,The Doctor Faces Deadliest Creatures,do_not_have,April,1980
28,Tom Baker & Lalla Ward,The Novellans and the Daleks,do_not_have,April,1980
29,Tom Baker,Dr Who Sound Effects,do_not_have,April,1980
30,Tom Baker,Special Effects,do_not_have,May,1980
31,Daleks,UNIT Hotline,do_not_have,May,1980
32,Tom Baker Comic,Discover The Hole Truth,do_not_have,May,1980
33,,,do_not_have,,1980
34,,,do_not_have,,1980
35,,,do_not_have,,1980
36,,,do_not_have,,1980
37,,,do_not_have,,1980
38,,,do_not_have,,1980
39,,,do_not_have,,1980
40,,,do_not_have,,1980
41,,,do_not_have,,1980
42,,,do_not_have,,1980
43,,,do_not_have,,1980
44,,,do_not_have,,
45,,,do_not_have,,
46,,,do_not_have,,
47,,,do_not_have,,
48,,,do_not_have,,
49,,,do_not_have,,
50,,,do_not_have,,
51,,,do_not_have,,
52,,,do_not_have,,
53,,,have,,
54,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
73,Resurrection of the Daleks,,have,,
,,,do_not_have,,
,,,do_not_have,,
76,Mark Strickson,,have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
86,Resurrection of the Daleks/Planet of Fire,,have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
94 -,,,have,,
,,,do_not_have,,
96 -,,,have,,
97 -,,,have,,
,,,do_not_have,,
99 -,,,have,,
,,,do_not_have,,
101 -,,,have,,
102 -,,,have,,
103 -,,,have,,
104 -,,,have,,
105 -,,,have,,
106 -,,,have,,
107 -,,,have,,
108 -,,,have,,
109 -,,,have,,
110 -,,,have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
150 -,,,have,,
,,,do_not_have,,
,,,do_not_have,,
153 -,,,have,,
154 -,,,have,,
155 -,,,have,,
156 -,,,have,,
157 -,,,have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
,,,do_not_have,,
269,Our Kinda Guy,,have,,
